Time Difference (s),Nodes,State,Backfilled
521,128,FAILED,yes
4575,40,COMPLETED,yes
4165,40,COMPLETED,yes
4472,40,COMPLETED,yes
5119,40,COMPLETED,yes
3476,40,COMPLETED,yes
3658,40,COMPLETED,yes
3400,40,COMPLETED,yes
4437,40,COMPLETED,yes
748,30,FAILED,yes
-24,64,TIMEOUT,yes
5907,40,COMPLETED,yes
3898,40,COMPLETED,yes
5578,40,COMPLETED,yes
3529,40,COMPLETED,yes
3952,40,COMPLETED,yes
2652,40,COMPLETED,yes
3082,40,COMPLETED,yes
4887,40,COMPLETED,yes
2950,40,COMPLETED,yes
4626,40,COMPLETED,yes
4692,40,COMPLETED,yes
2608,40,COMPLETED,yes
2946,40,COMPLETED,yes
2735,40,COMPLETED,yes
4044,40,COMPLETED,yes
3994,40,COMPLETED,yes
3025,40,COMPLETED,yes
4083,40,COMPLETED,yes
4040,40,COMPLETED,yes
4292,40,COMPLETED,yes
3164,40,COMPLETED,yes
2996,40,COMPLETED,yes
2640,40,COMPLETED,yes
-19,256,TIMEOUT,yes
21538,183,COMPLETED,yes
21537,183,COMPLETED,yes
21536,183,COMPLETED,yes
21533,183,COMPLETED,yes
21546,183,COMPLETED,yes
21546,183,COMPLETED,yes
21483,183,COMPLETED,yes
21483,183,COMPLETED,yes
21541,183,COMPLETED,yes
21546,183,COMPLETED,yes
21540,183,COMPLETED,yes
99,1,FAILED,yes
21545,183,COMPLETED,yes
21540,183,COMPLETED,yes
21541,183,COMPLETED,yes
-8,1,TIMEOUT,yes
21544,183,COMPLETED,yes
21542,183,COMPLETED,yes
2588,68,COMPLETED,yes
2382,68,COMPLETED,yes
2518,68,COMPLETED,yes
2552,68,COMPLETED,yes
2555,68,COMPLETED,yes
2559,68,COMPLETED,yes
2672,68,COMPLETED,yes
2527,68,COMPLETED,yes
2525,68,COMPLETED,yes
2522,68,COMPLETED,yes
3029,96,COMPLETED,yes
940,1,COMPLETED,yes
39603,512,FAILED,yes
43200,0,CANCELLED by 16570,no
43200,0,CANCELLED by 16570,no
43200,0,CANCELLED by 16570,no
43200,0,CANCELLED by 16570,no
43200,0,CANCELLED by 16570,no
43200,0,CANCELLED by 16570,no
-18,2,TIMEOUT,yes
7200,0,CANCELLED by 17581,no
7154,1,FAILED,yes
-29,64,TIMEOUT,yes
4951,172,COMPLETED,yes
43200,0,CANCELLED by 16242,no
-12,3,TIMEOUT,yes
-19,1,TIMEOUT,yes
2310,1,COMPLETED,yes
2368,1,COMPLETED,yes
2285,1,COMPLETED,yes
2249,1,COMPLETED,yes
2189,1,COMPLETED,yes
2273,1,COMPLETED,yes
2340,1,COMPLETED,yes
2236,1,COMPLETED,yes
